signal,nombre,comuna,ubicacion,lat,lon,potencia,ganancia,banda,rx,tx,tono,region,otorga,vence,isEcholink,conference,isDMR,serviceType,color,slot,tg,website,notes,labels
CE1RCD RPR-B,AGRUPACION CULTURAL RADIO CLUB CALDERA,CALDERA,CERRO MORRO BALLENA,-27.2258333333,-70.5591666667,5,6.5,VHF/FM,147.030,147.630,82.5,REGIÓN DE ATACAMA,05-06-2024,24-11-2028,,,,,,,,,,norte-chico vhf
CE1RCD RPT-A,AGRUPACION CULTURAL RADIO CLUB CALDERA,CALDERA,CERRO MORRO BALLENA,-27.6272222222,-70.1072222222,5,6.5,VHF/FM,146.730,146.130,82.5,REGIÓN DE ATACAMA,05-06-2024,24-11-2028,,,,,,,,,,norte-chico vhf
CE4SC RPT-A,AGRUPACION DE RADIOAFICIONADOS DE SANTA CRUZ,SANTA CRUZ,CERRO NERQUIHUE,-34.6375,-71.5433333333,10,4,UHF/FM,433.525,438.525,82.5,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,11-02-2025,11-02-2030,,,,,,,,,,centro uhf
CE4SC RPT-B,AGRUPACION DE RADIOAFICIONADOS DE SANTA CRUZ,SANTA CRUZ,CERRO CAÑETEN,-34.5575,-71.5294444444,10,4,VHF/FM,146.640,146.040,136.5,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,13-06-2025,13-06-2030,,,,,,,,,,centro vhf
CE6SOS RPT-A,AGRUPACION SOCIAL CULTURAL Y DEPORTIVA RADIO CLUB AMIGOS EN LA EMERGENCIA,OSORNO,LOS TINQUES 683,-40.5855555556,-73.1394444444,20,6,VHF/FM,146.650,146.050,,REGIÓN DE LOS LAGOS,31-03-2022,03-02-2027,,,,,,,,,,los-lagos vhf
CE6CYE RPT-A,AGRUPACION SOCIAL Y CULTURAL RADIO CLUB OSORNO,OSORNO,PILAUCO,-40.5641666667,-73.1186111111,25,6,VHF/FM,147.300,147.900,88.5,REGIÓN DE LOS LAGOS,31-01-2022,31-01-2027,,,,,,,,,,los-lagos vhf
CE2 RQ RPT-A,ASOCIACION CLUB DE RADIOAFICIONADOS DE EL QUISCO,EL QUISCO,3 ORIENTE ESQUINA 3 SUR,-33.4113888889,-71.6819444444,5,3,VHF/FM,146.940,146.340,67,REGIÓN DE VALPARAÍSO,07-03-2024,23-03-2027,,,,,,,,,,valparaiso vhf
CE7DE RPT-B,ASOCIACION CLUB DE RADIOAFICIONADOS EL TRAUKO,CASTRO,LLICALDAD,-42.4944444444,-73.8466666667,30,7,VHF/FM,146.730,146.130,107.2,REGIÓN DE LOS LAGOS,23-04-2024,16-10-2028,,,,,,,,,,los-lagos vhf
CE7DE RPT-A,ASOCIACION CLUB DE RADIOAFICIONADOS EL TRAUKO,DALCAHUE,TENAUN DALCAHUE,-42.3230555556,-73.3708333333,30,7,VHF/FM,147.180,147.780,107.2,REGIÓN DE LOS LAGOS,14-03-2024,16-10-2028,,,,,,,,,,los-lagos vhf
CE4CU RPT-A,ASOCIACIÓN RADIO CLUB PROVINCIAL CURICÓ,ROMERAL,"AVENIDA RAMÓN FREIRE 2562, LOS QUEÑES, COMUNA ROMERAL",-35.9622222222,-71.5219444444,25,7,VHF/FM,147.390,147.990,107.2,REGIÓN DEL MAULE,15-07-2025,15-07-2030,,,,,,,,,,centro vhf
CE2RVE RPT-A,CENTRO CULTURAL RADIO CLUB PROVINCIA DE MARGA MARGA,QUILPUÉ,SAMUEL VALENCIA 50,-33.0508333333,-71.4513888889,10,6.7,VHF/FM,146.650,146.050,67,REGIÓN DE VALPARAÍSO,29-12-2023,26-04-2028,,,,,,,,,,valparaiso vhf
CE3CDT RPT-A,CIRCULO DE RADIAFICIONADOS ESCUELA DE TELECOMUNICACIONES,PEÑALOLÉN,AVDA. LAS PERDICES N° 700,-33.4619444444,-70.5219444444,10,7,VHF/FM,147.120,147.720,114.8,REGIÓN METROPOLITANA DE SANTIAGO,23-03-2022,23-03-2027,,,,,,,,,,rm vhf
CE5NCR RPT-B,CIRCULO DE RADIOAFICIONADOS CORDILLERA DE NAHUELBUTA,CAÑETE,PREDIO QUELEN-QUELEN,-37.7531805556,-73.3611666667,25,6,VHF/FM,146.745,146.145,100,REGIÓN DEL BIOBÍO,03-08-2023,12-07-2028,,,,,,,,,,sur vhf
CE5NCR RPT-A,CIRCULO DE RADIOAFICIONADOS CORDILLERA DE NAHUELBUTA,CAÑETE,AVENIDA PRESIDENTE FREI 1191,-37.7891666667,-73.3888888889,25,6,VHF/FM,146.220,146.820,100,REGIÓN DEL BIOBÍO,03-08-2023,12-07-2028,,,,,,,,,,sur vhf
